['https://movie.douban.com/subject/1418019/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg', '大闹天宫', ' ', ['9.4'], ['328932']]
['https://movie.douban.com/subject/1292000/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg', '搏击俱乐部', 'Fight Club', ['9.0'], ['690646']]
['https://movie.douban.com/subject/1299131/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg', '教父2', 'The Godfather: Part Ⅱ', ['9.2'], ['422063']]
['https://movie.douban.com/subject/1301753/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg', '狮子王', 'The Lion King', ['9.0'], ['661188']]
['https://movie.douban.com/subject/1296736/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg', '钢琴家', 'The Pianist', ['9.2'], ['439661']]
['https://movie.douban.com/subject/1291572/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2197533580.jpg', '指环王2：双塔奇兵', 'The Lord of the Rings: The Two Towers', ['9.1'], ['556781']]
['https://movie.douban.com/subject/1291548/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg', '死亡诗社', 'Dead Poets Society', ['9.1'], ['557296']]
['https://movie.douban.com/subject/1291843/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg', '黑客帝国', 'The Matrix', ['9.0'], ['641228']]
['https://movie.douban.com/subject/1291571/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg', '指环王1：魔戒再现', 'The Lord of the Rings: The Fellowship of the Ring', ['9.0'], ['624376']]
['https://movie.douban.com/subject/1291818/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg', '饮食男女', '飲食男女', ['9.1'], ['469917']]
['https://movie.douban.com/subject/3742360/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg', '让子弹飞', ' ', ['8.9'], ['1296186']]
['https://movie.douban.com/subject/1306029/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg', '美丽心灵', 'A Beautiful Mind', ['9.0'], ['608907']]
['https://movie.douban.com/subject/27060077/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg', '绿皮书', 'Green Book', ['8.9'], ['1246582']]
['https://movie.douban.com/subject/1900841/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg', '窃听风暴', 'Das Leben der Anderen', ['9.2'], ['452076']]
['https://movie.douban.com/subject/1293350/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg', '两杆大烟枪', 'Lock, Stock and Two Smoking Barrels', ['9.1'], ['486813']]
['https://movie.douban.com/subject/25958717/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg', '海蒂和爷爷', 'Heidi', ['9.2'], ['357329']]
['https://movie.douban.com/subject/1485260/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg', '本杰明·巴顿奇事', 'The Curious Case of Benjamin Button', ['8.9'], ['789443']]
['https://movie.douban.com/subject/1292224/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg', '飞越疯人院', "One Flew Over the Cuckoo's Nest", ['9.1'], ['465837']]
['https://movie.douban.com/subject/26580232/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg', '看不见的客人', 'Contratiempo', ['8.8'], ['965937']]
['https://movie.douban.com/subject/1292402/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg', '西西里的美丽传说', 'Malèna', ['8.9'], ['782525']]
['https://movie.douban.com/subject/1292849/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg', '拯救大兵瑞恩', 'Saving Private Ryan', ['9.0'], ['518009']]
['https://movie.douban.com/subject/3008247/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg', '穿条纹睡衣的男孩', 'The Boy in the Striped Pajamas', ['9.1'], ['410337']]
